"city_name";"mundi_code";"sc_code";"neighborhood";"district";"renta_neta_media_por_persona";"renta_neta_media_por_hogar";"media_de_la_renta_por_unidad_de_consumo";"mediana_de_la_renta_por_unidad_de_consumo";"renta_bruta_media_por_persona";"renta_bruta_media_por_hogar";"edad_media_de_la_poblacion";"porcentaje_de_poblacion_menor_de_18_anos";"porcentaje_de_poblacion_de_65_y_mas_anos";"tamano_medio_del_hogar";"porcentaje_de_hogares_unipersonales";"poblacion";"porcentaje_de_poblacion_espanola";"fuente_de_ingreso_salario";"fuente_de_ingreso_pensiones";"fuente_de_ingreso_prestaciones_por_desempleo";"fuente_de_ingreso_otras_prestaciones";"fuente_de_ingreso_otros_ingresos";"cluster"
"Barcelona";"801901029";"1029";"el Barri Gòtic";"Ciutat Vella";9800;23909;14625;11550;11909;29056;38.2;8.4;9.7;2;39.2;1315;41.8;7825;1500;1081;403;1100;1
"Barcelona";"801901030";"1030";"el Barri Gòtic";"Ciutat Vella";11024;27883;16513;12950;13381;33844;41;10.2;14.6;2;37.1;2343;52;8135;2169;1069;614;1393;1
"Barcelona";"801901031";"1031";"el Barri Gòtic";"Ciutat Vella";10549;26734;15361;10850;13160;33353;39.8;9.4;11.6;2;39.6;1498;45.1;8435;1534;1112;473;1606;1
"Barcelona";"801901032";"1032";"la Barceloneta";"Ciutat Vella";13857;28265;19142;15750;17136;34954;43.8;6.4;16.7;2;45.4;1756;57.4;10171;3033;1139;523;2270;1
"Barcelona";"801901033";"1033";"la Barceloneta";"Ciutat Vella";11460;24249;15750;14350;13517;28600;41.3;8;15.5;2;41.5;1093;54.2;8133;2494;1335;572;982;1
"Barcelona";"801901034";"1034";"la Barceloneta";"Ciutat Vella";12156;23568;16493;15050;14623;28351;42.5;7;16;2;45.7;931;56.7;9380;2464;1241;569;969;1
"Barcelona";"801901035";"1035";"la Barceloneta";"Ciutat Vella";11996;25673;16715;14700;14277;30555;42.4;7.8;16.3;2;44.8;1178;54.8;9042;2644;1107;685;800;1
"Barcelona";"801901036";"1036";"la Barceloneta";"Ciutat Vella";13130;31065;19052;16450;15748;37260;44.7;10.4;20.8;2;31.8;1142;75;9580;3284;883;1099;902;3
"Barcelona";"801901037";"1037";"la Barceloneta";"Ciutat Vella";12306;29260;18249;17150;14810;35213;44.2;10.3;20.3;2;32.4;1338;71.2;8325;3635;1054;728;1068;3
"Barcelona";"801901038";"1038";"la Barceloneta";"Ciutat Vella";11266;23221;15379;13650;13400;27622;40.3;7.7;12.1;2;44.8;1435;47.8;8598;2113;1324;609;756;1
"Barcelona";"801901039";"1039";"la Barceloneta";"Ciutat Vella";12091;27220;17258;15750;14393;32404;43.2;8.8;17.1;2;37.5;1301;62;8535;2700;1212;647;1300;1
